Category: All categories

Week,grippe: (Germany)
2018-09-16,24
2018-09-23,27
2018-09-30,29
2018-10-07,35
2018-10-14,32
2018-10-21,34
2018-10-28,33
2018-11-04,39
2018-11-11,34
2018-11-18,39
2018-11-25,38
2018-12-02,40
2018-12-09,37
2018-12-16,38
2018-12-23,40
2018-12-30,38
2019-01-06,39
2019-01-13,39
2019-01-20,47
2019-01-27,63
2019-02-03,82
2019-02-10,96
2019-02-17,100
2019-02-24,90
2019-03-03,80
2019-03-10,63
2019-03-17,52
2019-03-24,41
2019-03-31,34
2019-04-07,31
2019-04-14,26
2019-04-21,20
2019-04-28,19
2019-05-05,19
2019-05-12,17
2019-05-19,16
2019-05-26,14
2019-06-02,13
2019-06-09,12
2019-06-16,11
2019-06-23,12
2019-06-30,12
2019-07-07,14
2019-07-14,14
2019-07-21,12
2019-07-28,12
2019-08-04,14
2019-08-11,13
2019-08-18,13
2019-08-25,14
2019-09-01,16
2019-09-08,18
